code,name,p2010,p2011,p2012,p2013,p2014
al,Alabama,4785822,4801695,4817484,4833996,4849377
ak,Alaska,713856,722572,731081,737259,736732
az,Arizona,6411999,6472867,6556236,6634997,6731484
ar,Arkansas,2922297,2938430,2949300,2958765,2966369
ca,California,37336011,37701901,38062780,38431393,38802500
co,Colorado,5048575,5119661,5191709,5272086,5355866
ct,Connecticut,3579345,3590537,3594362,3599341,3596677
de,Delaware,899731,907829,916881,925240,935614
dc,District of Columbia,605210,620427,635040,649111,658893
fl,Florida,18852220,19107900,19355257,19600311,19893297
ga,Georgia,9714464,9813201,9919000,9994759,10097343
hi,Hawaii,1363950,1378251,1392766,1408987,1419561
id,Idaho,1570639,1583780,1595590,1612843,1634464
il,Illinois,12840097,12858725,12873763,12890552,12880580
in,Indiana,6490308,6516560,6537632,6570713,6596855
ia,Iowa,3050295,3064904,3075935,3092341,3107126
ks,Kansas,2858949,2869965,2885966,2895801,2904021
ky,Kentucky,4349838,4370038,4383465,4399583,4413457
la,Louisiana,4545581,4575972,4604744,4629284,4649676
me,Maine,1327361,1327930,1328592,1328702,1330089
md,Maryland,5788101,5843833,5891819,5938737,5976407
ma,Massachusetts,6564073,6612270,6655829,6708874,6745408
mi,Michigan,9876498,9875736,9884781,9898193,9909877
mn,Minnesota,5310418,5348036,5380615,5422060,5457173
ms,Mississippi,2970811,2978464,2986137,2992206,2994079
mo,Missouri,5996085,6010544,6025281,6044917,6063589
mt,Montana,990575,997661,1005163,1014864,1023579
ne,Nebraska,1829865,1842232,1855487,1868969,1881503
nv,Nevada,2703493,2718586,2755245,2791494,2839099
nh,New Hampshire,1316517,1318109,1321297,1322616,1326813
nj,New Jersey,8803580,8842614,8876000,8911502,8938175
nm,New Mexico,2064950,2078407,2084594,2086895,2085572
ny,New York,19400867,19521745,19607140,19695680,19746227
nc,North Carolina,9559488,9651502,9748181,9848917,9943964
nd,North Dakota,674345,685242,701705,723857,739482
oh,Ohio,11540070,11544757,11550901,11572005,11594163
ok,Oklahoma,3759481,3786527,3817059,3853118,3878051
or,Oregon,3837083,3867644,3898684,3928068,3970239
pa,Pennsylvania,12711077,12743995,12770043,12781296,12787209
ri,Rhode Island,1053078,1052020,1052637,1053354,1055173
sc,South Carolina,4636290,4673054,4722621,4771929,4832482
sd,South Dakota,816192,824171,834504,845510,853175
tn,Tennessee,6356628,6398389,6455177,6497269,6549352
tx,Texas,25245717,25657477,26094422,26505637,26956958
ut,Utah,2774346,2815324,2855194,2902787,2942902
vt,Vermont,625792,626450,626138,626855,626562
va,Virginia,8025376,8110188,8193422,8270345,8326289
wa,Washington,6741911,6822112,6896325,6973742,7061530
wv,West Virginia,1854176,1854982,1856313,1853595,1850326
wi,Wisconsin,5689268,5708785,5724888,5742953,5757564
wy,Wyoming,564358,567631,576893,583223,584153
